,DATE,PLANT_NAME,MATERIAL_NAME,TOTAL_UNRESTRICTED_STOCK
143,2024/01/31,CHINA-WAREHOUSE,MAT-0353,374975
144,2024/01/31,CHINA-WAREHOUSE,MAT-0356,110850
145,2024/01/31,CHINA-WAREHOUSE,MAT-0357,82800
146,2024/01/31,CHINA-WAREHOUSE,MAT-0358,1150
147,2024/01/31,CHINA-WAREHOUSE,MAT-0362,3250
148,2024/01/31,CHINA-WAREHOUSE,MAT-0373,50
149,2024/01/31,CHINA-WAREHOUSE,MAT-0374,24350
150,2024/01/31,CHINA-WAREHOUSE,MAT-0375,102075
151,2024/01/31,CHINA-WAREHOUSE,MAT-0376,2675
152,2024/01/31,CHINA-WAREHOUSE,MAT-0377,152225
153,2024/01/31,CHINA-WAREHOUSE,MAT-0378,266425
154,2024/01/31,CHINA-WAREHOUSE,MAT-0379,330750
155,2024/01/31,CHINA-WAREHOUSE,MAT-0380,56750
156,2024/01/31,CHINA-WAREHOUSE,MAT-0381,49400
157,2024/01/31,CHINA-WAREHOUSE,MAT-0382,332800
158,2024/01/31,CHINA-WAREHOUSE,MAT-0383,0
159,2024/01/31,CHINA-WAREHOUSE,MAT-0384,24750
160,2024/01/31,CHINA-WAREHOUSE,MAT-0385,650
161,2024/01/31,CHINA-WAREHOUSE,MAT-0386,327450
162,2024/01/31,CHINA-WAREHOUSE,MAT-0387,20800
163,2024/01/31,CHINA-WAREHOUSE,MAT-0388,99000
164,2024/01/31,CHINA-WAREHOUSE,MAT-0389,1576600
165,2024/01/31,CHINA-WAREHOUSE,MAT-0390,121775
166,2024/01/31,CHINA-WAREHOUSE,MAT-0396,106675
167,2024/01/31,CHINA-WAREHOUSE,MAT-0397,25450
168,2024/01/31,CHINA-WAREHOUSE,MAT-0413,43400
169,2024/01/31,CHINA-WAREHOUSE,MAT-0415,134600
170,2024/01/31,CHINA-WAREHOUSE,MAT-0416,560300
171,2024/01/31,CHINA-WAREHOUSE,MAT-0428,215675
172,2024/01/31,CHINA-WAREHOUSE,MAT-0429,850
173,2024/10/31,CHINA-WAREHOUSE,MAT-0001,1238750
174,2024/10/31,CHINA-WAREHOUSE,MAT-0002,7875
175,2024/10/31,CHINA-WAREHOUSE,MAT-0003,117504
176,2024/10/31,CHINA-WAREHOUSE,MAT-0007,77325
177,2024/10/31,CHINA-WAREHOUSE,MAT-0008,0
178,2024/10/31,CHINA-WAREHOUSE,MAT-0009,297700
179,2024/10/31,CHINA-WAREHOUSE,MAT-0011,202575
180,2024/10/31,CHINA-WAREHOUSE,MAT-0012,13750
181,2024/10/31,CHINA-WAREHOUSE,MAT-0013,412100
182,2024/10/31,CHINA-WAREHOUSE,MAT-0015,1525650
183,2024/10/31,CHINA-WAREHOUSE,MAT-0016,0
184,2024/10/31,CHINA-WAREHOUSE,MAT-0017,991075
185,2024/10/31,CHINA-WAREHOUSE,MAT-0018,129750
186,2024/10/31,CHINA-WAREHOUSE,MAT-0019,204650
187,2024/10/31,CHINA-WAREHOUSE,MAT-0027,99000
188,2024/10/31,CHINA-WAREHOUSE,MAT-0032,443975
189,2024/10/31,CHINA-WAREHOUSE,MAT-0035,596325
190,2024/10/31,CHINA-WAREHOUSE,MAT-0037,48125
191,2024/10/31,CHINA-WAREHOUSE,MAT-0040,74250
192,2024/10/31,CHINA-WAREHOUSE,MAT-0042,90425
193,2024/10/31,CHINA-WAREHOUSE,MAT-0046,797475
194,2024/10/31,CHINA-WAREHOUSE,MAT-0047,312400
195,2024/10/31,CHINA-WAREHOUSE,MAT-0049,316400
196,2024/10/31,CHINA-WAREHOUSE,MAT-0050,2800
197,2024/10/31,CHINA-WAREHOUSE,MAT-0052,158400
198,2024/10/31,CHINA-WAREHOUSE,MAT-0053,287000
199,2024/10/31,CHINA-WAREHOUSE,MAT-0055,256900
200,2024/10/31,CHINA-WAREHOUSE,MAT-0056,1347150
201,2024/10/31,CHINA-WAREHOUSE,MAT-0057,9950
202,2024/10/31,CHINA-WAREHOUSE,MAT-0058,2451
203,2024/10/31,CHINA-WAREHOUSE,MAT-0060,71300
204,2024/10/31,CHINA-WAREHOUSE,MAT-0065,497100
205,2024/10/31,CHINA-WAREHOUSE,MAT-0066,18650
206,2024/10/31,CHINA-WAREHOUSE,MAT-0067,24750
207,2024/10/31,CHINA-WAREHOUSE,MAT-0068,20250
208,2024/10/31,CHINA-WAREHOUSE,MAT-0069,1100
209,2024/10/31,CHINA-WAREHOUSE,MAT-0070,20000
210,2024/10/31,CHINA-WAREHOUSE,MAT-0071,123700
211,2024/10/31,CHINA-WAREHOUSE,MAT-0082,1332125
212,2024/10/31,CHINA-WAREHOUSE,MAT-0084,1436400
213,2024/10/31,CHINA-WAREHOUSE,MAT-0085,599975
214,2024/10/31,CHINA-WAREHOUSE,MAT-0086,95750
215,2024/10/31,CHINA-WAREHOUSE,MAT-0087,37125
216,2024/10/31,CHINA-WAREHOUSE,MAT-0091,60375
217,2024/10/31,CHINA-WAREHOUSE,MAT-0092,11500
218,2024/10/31,CHINA-WAREHOUSE,MAT-0096,135400
219,2024/10/31,CHINA-WAREHOUSE,MAT-0097,19450
220,2024/10/31,CHINA-WAREHOUSE,MAT-0098,299275
221,2024/10/31,CHINA-WAREHOUSE,MAT-0099,1062650
222,2024/10/31,CHINA-WAREHOUSE,MAT-0101,49475
223,2024/10/31,CHINA-WAREHOUSE,MAT-0102,49400
224,2024/10/31,CHINA-WAREHOUSE,MAT-0104,4400
225,2024/10/31,CHINA-WAREHOUSE,MAT-0105,7950
226,2024/10/31,CHINA-WAREHOUSE,MAT-0106,78025
227,2024/10/31,CHINA-WAREHOUSE,MAT-0107,24700
228,2024/10/31,CHINA-WAREHOUSE,MAT-0108,301625
229,2024/10/31,CHINA-WAREHOUSE,MAT-0111,221900
230,2024/10/31,CHINA-WAREHOUSE,MAT-0112,508400
231,2024/10/31,CHINA-WAREHOUSE,MAT-0113,1700
232,2024/10/31,CHINA-WAREHOUSE,MAT-0114,40875
233,2024/10/31,CHINA-WAREHOUSE,MAT-0115,14350
234,2024/10/31,CHINA-WAREHOUSE,MAT-0116,238700
235,2024/10/31,CHINA-WAREHOUSE,MAT-0117,7475
236,2024/10/31,CHINA-WAREHOUSE,MAT-0118,12150
237,2024/10/31,CHINA-WAREHOUSE,MAT-0119,0
238,2024/10/31,CHINA-WAREHOUSE,MAT-0120,679475
239,2024/10/31,CHINA-WAREHOUSE,MAT-0137,704475
240,2024/10/31,CHINA-WAREHOUSE,MAT-0138,23725
241,2024/10/31,CHINA-WAREHOUSE,MAT-0142,563700
242,2024/10/31,CHINA-WAREHOUSE,MAT-0143,1228250
243,2024/10/31,CHINA-WAREHOUSE,MAT-0144,3169375
244,2024/10/31,CHINA-WAREHOUSE,MAT-0145,1115175
245,2024/10/31,CHINA-WAREHOUSE,MAT-0146,50575
246,2024/10/31,CHINA-WAREHOUSE,MAT-0147,35250
247,2024/10/31,CHINA-WAREHOUSE,MAT-0148,73150
248,2024/10/31,CHINA-WAREHOUSE,MAT-0149,35200
249,2024/10/31,CHINA-WAREHOUSE,MAT-0150,44375
250,2024/10/31,CHINA-WAREHOUSE,MAT-0151,429525
251,2024/10/31,CHINA-WAREHOUSE,MAT-0152,40950
252,2024/10/31,CHINA-WAREHOUSE,MAT-0153,3750
253,2024/10/31,CHINA-WAREHOUSE,MAT-0156,1086675
254,2024/10/31,CHINA-WAREHOUSE,MAT-0158,611200
255,2024/10/31,CHINA-WAREHOUSE,MAT-0159,237225
256,2024/10/31,CHINA-WAREHOUSE,MAT-0160,886400
257,2024/10/31,CHINA-WAREHOUSE,MAT-0161,24525
258,2024/10/31,CHINA-WAREHOUSE,MAT-0162,22750
259,2024/10/31,CHINA-WAREHOUSE,MAT-0163,375
260,2024/10/31,CHINA-WAREHOUSE,MAT-0164,33175
261,2024/10/31,CHINA-WAREHOUSE,MAT-0165,4075
262,2024/10/31,CHINA-WAREHOUSE,MAT-0166,1805275
263,2024/10/31,CHINA-WAREHOUSE,MAT-0167,148075
264,2024/10/31,CHINA-WAREHOUSE,MAT-0168,2725
265,2024/10/31,CHINA-WAREHOUSE,MAT-0174,75
266,2024/10/31,CHINA-WAREHOUSE,MAT-0175,25
267,2024/10/31,CHINA-WAREHOUSE,MAT-0176,141000
268,2024/10/31,CHINA-WAREHOUSE,MAT-0177,2425
269,2024/10/31,CHINA-WAREHOUSE,MAT-0178,2500
270,2024/10/31,CHINA-WAREHOUSE,MAT-0179,7275
271,2024/10/31,CHINA-WAREHOUSE,MAT-0180,33725
272,2024/10/31,CHINA-WAREHOUSE,MAT-0181,0
273,2024/10/31,CHINA-WAREHOUSE,MAT-0188,67750
274,2024/10/31,CHINA-WAREHOUSE,MAT-0190,365800
275,2024/10/31,CHINA-WAREHOUSE,MAT-0193,205360
276,2024/10/31,CHINA-WAREHOUSE,MAT-0195,0
277,2024/10/31,CHINA-WAREHOUSE,MAT-0196,532125
278,2024/10/31,CHINA-WAREHOUSE,MAT-0197,29625
279,2024/10/31,CHINA-WAREHOUSE,MAT-0198,1767750
280,2024/10/31,CHINA-WAREHOUSE,MAT-0199,14350
281,2024/10/31,CHINA-WAREHOUSE,MAT-0201,419900
282,2024/10/31,CHINA-WAREHOUSE,MAT-0202,47125
283,2024/10/31,CHINA-WAREHOUSE,MAT-0204,10200
284,2024/10/31,CHINA-WAREHOUSE,MAT-0206,818225
285,2024/10/31,CHINA-WAREHOUSE,MAT-0207,53800
286,2024/10/31,CHINA-WAREHOUSE,MAT-0208,0
287,2024/10/31,CHINA-WAREHOUSE,MAT-0209,0
288,2024/10/31,CHINA-WAREHOUSE,MAT-0216,0
289,2024/10/31,CHINA-WAREHOUSE,MAT-0218,750
290,2024/10/31,CHINA-WAREHOUSE,MAT-0229,58550
291,2024/10/31,CHINA-WAREHOUSE,MAT-0230,12325
292,2024/10/31,CHINA-WAREHOUSE,MAT-0231,25
293,2024/10/31,CHINA-WAREHOUSE,MAT-0232,139900
294,2024/10/31,CHINA-WAREHOUSE,MAT-0233,150
295,2024/10/31,CHINA-WAREHOUSE,MAT-0234,368375
296,2024/10/31,CHINA-WAREHOUSE,MAT-0235,0
297,2024/10/31,CHINA-WAREHOUSE,MAT-0236,47875
298,2024/10/31,CHINA-WAREHOUSE,MAT-0237,722600
299,2024/10/31,CHINA-WAREHOUSE,MAT-0238,0
300,2024/10/31,CHINA-WAREHOUSE,MAT-0239,49500
301,2024/10/31,CHINA-WAREHOUSE,MAT-0246,421425
302,2024/10/31,CHINA-WAREHOUSE,MAT-0254,172450
303,2024/10/31,CHINA-WAREHOUSE,MAT-0255,47725
304,2024/10/31,CHINA-WAREHOUSE,MAT-0256,49300
305,2024/10/31,CHINA-WAREHOUSE,MAT-0260,600
306,2024/10/31,CHINA-WAREHOUSE,MAT-0261,964975
307,2024/10/31,CHINA-WAREHOUSE,MAT-0262,0
308,2024/10/31,CHINA-WAREHOUSE,MAT-0263,900
309,2024/10/31,CHINA-WAREHOUSE,MAT-0264,37925
310,2024/10/31,CHINA-WAREHOUSE,MAT-0265,517425
311,2024/10/31,CHINA-WAREHOUSE,MAT-0266,152025
312,2024/10/31,CHINA-WAREHOUSE,MAT-0267,21275
313,2024/10/31,CHINA-WAREHOUSE,MAT-0268,47850
314,2024/10/31,CHINA-WAREHOUSE,MAT-0270,580475
315,2024/10/31,CHINA-WAREHOUSE,MAT-0271,600
316,2024/10/31,CHINA-WAREHOUSE,MAT-0273,119525
317,2024/10/31,CHINA-WAREHOUSE,MAT-0276,259775
318,2024/10/31,CHINA-WAREHOUSE,MAT-0279,1275
319,2024/10/31,CHINA-WAREHOUSE,MAT-0281,660625
320,2024/10/31,CHINA-WAREHOUSE,MAT-0284,29850
321,2024/10/31,CHINA-WAREHOUSE,MAT-0285,319000
322,2024/10/31,CHINA-WAREHOUSE,MAT-0286,72000
323,2024/10/31,CHINA-WAREHOUSE,MAT-0290,24700
324,2024/10/31,CHINA-WAREHOUSE,MAT-0291,22850
325,2024/10/31,CHINA-WAREHOUSE,MAT-0294,1800
326,2024/10/31,CHINA-WAREHOUSE,MAT-0295,29900
327,2024/10/31,CHINA-WAREHOUSE,MAT-0296,24750
328,2024/10/31,CHINA-WAREHOUSE,MAT-0297,0
329,2024/10/31,CHINA-WAREHOUSE,MAT-0312,224775
330,2024/10/31,CHINA-WAREHOUSE,MAT-0313,1625
331,2024/10/31,CHINA-WAREHOUSE,MAT-0314,543800
332,2024/10/31,CHINA-WAREHOUSE,MAT-0315,303325
333,2024/10/31,CHINA-WAREHOUSE,MAT-0316,53200
334,2024/10/31,CHINA-WAREHOUSE,MAT-0317,10475
335,2024/10/31,CHINA-WAREHOUSE,MAT-0318,916000
336,2024/10/31,CHINA-WAREHOUSE,MAT-0319,102875
337,2024/10/31,CHINA-WAREHOUSE,MAT-0320,725
338,2024/10/31,CHINA-WAREHOUSE,MAT-0321,23100
339,2024/10/31,CHINA-WAREHOUSE,MAT-0322,2475
340,2024/10/31,CHINA-WAREHOUSE,MAT-0323,260400
341,2024/10/31,CHINA-WAREHOUSE,MAT-0324,251050
342,2024/10/31,CHINA-WAREHOUSE,MAT-0325,265500
343,2024/10/31,CHINA-WAREHOUSE,MAT-0326,58700
344,2024/10/31,CHINA-WAREHOUSE,MAT-0327,190475
345,2024/10/31,CHINA-WAREHOUSE,MAT-0328,422800
346,2024/10/31,CHINA-WAREHOUSE,MAT-0329,22775
347,2024/10/31,CHINA-WAREHOUSE,MAT-0330,24275
348,2024/10/31,CHINA-WAREHOUSE,MAT-0332,7599375
349,2024/10/31,CHINA-WAREHOUSE,MAT-0333,152400
350,2024/10/31,CHINA-WAREHOUSE,MAT-0334,38100
351,2024/10/31,CHINA-WAREHOUSE,MAT-0335,198000
352,2024/10/31,CHINA-WAREHOUSE,MAT-0338,7125
353,2024/10/31,CHINA-WAREHOUSE,MAT-0339,10075
354,2024/10/31,CHINA-WAREHOUSE,MAT-0340,720600
355,2024/10/31,CHINA-WAREHOUSE,MAT-0341,1094525
356,2024/10/31,CHINA-WAREHOUSE,MAT-0350,0
357,2024/10/31,CHINA-WAREHOUSE,MAT-0351,5500
358,2024/10/31,CHINA-WAREHOUSE,MAT-0352,11600
359,2024/10/31,CHINA-WAREHOUSE,MAT-0353,10050
360,2024/10/31,CHINA-WAREHOUSE,MAT-0354,1172175
361,2024/10/31,CHINA-WAREHOUSE,MAT-0356,505075
362,2024/10/31,CHINA-WAREHOUSE,MAT-0357,14325
363,2024/10/31,CHINA-WAREHOUSE,MAT-0358,0
364,2024/10/31,CHINA-WAREHOUSE,MAT-0363,146325
365,2024/10/31,CHINA-WAREHOUSE,MAT-0367,24250
366,2024/10/31,CHINA-WAREHOUSE,MAT-0368,2750
367,2024/10/31,CHINA-WAREHOUSE,MAT-0373,9050
368,2024/10/31,CHINA-WAREHOUSE,MAT-0374,15125
369,2024/10/31,CHINA-WAREHOUSE,MAT-0375,96700
370,2024/10/31,CHINA-WAREHOUSE,MAT-0376,177775
371,2024/10/31,CHINA-WAREHOUSE,MAT-0377,286100
372,2024/10/31,CHINA-WAREHOUSE,MAT-0378,193450
373,2024/10/31,CHINA-WAREHOUSE,MAT-0379,452050
374,2024/10/31,CHINA-WAREHOUSE,MAT-0380,27500
375,2024/10/31,CHINA-WAREHOUSE,MAT-0381,74250
376,2024/10/31,CHINA-WAREHOUSE,MAT-0382,322275
377,2024/10/31,CHINA-WAREHOUSE,MAT-0383,21525
378,2024/10/31,CHINA-WAREHOUSE,MAT-0384,221950
379,2024/10/31,CHINA-WAREHOUSE,MAT-0385,650
380,2024/10/31,CHINA-WAREHOUSE,MAT-0386,369150
381,2024/10/31,CHINA-WAREHOUSE,MAT-0387,20800
382,2024/10/31,CHINA-WAREHOUSE,MAT-0388,1175
383,2024/10/31,CHINA-WAREHOUSE,MAT-0389,657000
384,2024/10/31,CHINA-WAREHOUSE,MAT-0390,175
385,2024/10/31,CHINA-WAREHOUSE,MAT-0391,0
386,2024/10/31,CHINA-WAREHOUSE,MAT-0392,24150
387,2024/10/31,CHINA-WAREHOUSE,MAT-0393,141375
388,2024/10/31,CHINA-WAREHOUSE,MAT-0394,24750
389,2024/10/31,CHINA-WAREHOUSE,MAT-0396,24750
390,2024/10/31,CHINA-WAREHOUSE,MAT-0397,24075
391,2024/10/31,CHINA-WAREHOUSE,MAT-0399,600
392,2024/10/31,CHINA-WAREHOUSE,MAT-0400,21450
393,2024/10/31,CHINA-WAREHOUSE,MAT-0402,19850
394,2024/10/31,CHINA-WAREHOUSE,MAT-0413,1232975
395,2024/10/31,CHINA-WAREHOUSE,MAT-0415,649750
396,2024/10/31,CHINA-WAREHOUSE,MAT-0416,718100
397,2024/10/31,CHINA-WAREHOUSE,MAT-0417,31200
398,2024/10/31,CHINA-WAREHOUSE,MAT-0418,0
399,2024/10/31,CHINA-WAREHOUSE,MAT-0428,405600
400,2024/10/31,CHINA-WAREHOUSE,MAT-0429,0
401,2024/10/31,CHINA-WAREHOUSE,MAT-0430,60550
402,2024/11/30,CHINA-WAREHOUSE,MAT-0001,520325
403,2024/11/30,CHINA-WAREHOUSE,MAT-0002,7875
404,2024/11/30,CHINA-WAREHOUSE,MAT-0003,117504
405,2024/11/30,CHINA-WAREHOUSE,MAT-0007,154225
406,2024/11/30,CHINA-WAREHOUSE,MAT-0008,0
407,2024/11/30,CHINA-WAREHOUSE,MAT-0009,297700
408,2024/11/30,CHINA-WAREHOUSE,MAT-0011,199825
409,2024/11/30,CHINA-WAREHOUSE,MAT-0012,13750
410,2024/11/30,CHINA-WAREHOUSE,MAT-0013,112250
411,2024/11/30,CHINA-WAREHOUSE,MAT-0015,822500
412,2024/11/30,CHINA-WAREHOUSE,MAT-0017,834825
413,2024/11/30,CHINA-WAREHOUSE,MAT-0018,80250
414,2024/11/30,CHINA-WAREHOUSE,MAT-0019,204550
415,2024/11/30,CHINA-WAREHOUSE,MAT-0020,148500
416,2024/11/30,CHINA-WAREHOUSE,MAT-0027,99000
417,2024/11/30,CHINA-WAREHOUSE,MAT-0032,61450
418,2024/11/30,CHINA-WAREHOUSE,MAT-0035,546675
419,2024/11/30,CHINA-WAREHOUSE,MAT-0037,48125
420,2024/11/30,CHINA-WAREHOUSE,MAT-0038,153925
421,2024/11/30,CHINA-WAREHOUSE,MAT-0040,74250
