Unnamed: 0,DATE,MATERIAL_NAME,INBOUND,OUTBOUND,BEFORE,AFTER,date,dayofweek,is_weekend,is_month_start,rolling_inbound_3,rolling_outbound_3,inbound_std_3,outbound_std_3,inbound_freq_3,outbound_freq_3,max_outbound_3,inbound_sum_3,outbound_sum_3,rolling_inbound_7,rolling_outbound_7,inbound_std_7,outbound_std_7,inbound_freq_7,outbound_freq_7,max_outbound_7,inbound_sum_7,outbound_sum_7,rolling_inbound_15,rolling_outbound_15,inbound_std_15,outbound_std_15,inbound_freq_15,outbound_freq_15,max_outbound_15,inbound_sum_15,outbound_sum_15,net_flow_3,net_flow_7,net_flow_15,days_since_last_inbound,days_since_last_outbound,stock_future_min,risk
383,2024-01-16,MAT-0001,0.0,43.5,2902.7350000000006,2859.2350000000006,2024-01-16,1,0,0,0.0,85.00333333333333,0.0,65.49812999875137,0.0,3.0,160.51,0.0,255.01,0.0,72.39142857142858,0.0,50.151105813189346,0.0,7.0,160.51,0.0,506.74,142.375,64.7325,493.20146745523783,51.005772244646266,1.0,11.0,160.51,1708.5,776.79,-255.01,-506.74,931.71,8,0,2326.715,0
418,2024-01-17,MAT-0001,0.0,102.01,2859.2350000000006,2757.2250000000004,2024-01-17,2,0,0,0.0,65.50333333333333,0.0,31.837321390678184,0.0,3.0,102.01,0.0,196.51,0.0,82.25,0.0,47.84704031250697,0.0,7.0,160.51,0.0,575.75,131.42307692307693,67.60000000000001,473.852642625402,49.9167603783205,1.0,12.0,160.51,1708.5,878.8000000000001,-196.51,-575.75,829.6999999999999,9,0,2310.215,0
442,2024-01-18,MAT-0001,0.0,58.5,2757.2250000000004,2698.7250000000004,2024-01-18,3,0,0,0.0,68.00333333333333,0.0,30.39062410239932,0.0,3.0,102.01,0.0,204.01,0.0,83.32142857142857,0.0,47.10891615132301,0.0,7.0,160.51,0.0,583.25,122.03571428571429,66.95,456.61583180737705,48.020100438814644,1.0,13.0,160.51,1708.5,937.3000000000001,-204.01,-583.25,771.1999999999999,10,0,2281.715,0
502,2024-01-20,MAT-0001,0.0,18.0,2698.7250000000004,2680.7250000000004,2024-01-20,5,1,0,0.0,59.50333333333333,0.0,42.013986163340114,0.0,3.0,102.01,0.0,178.51,0.0,67.71714285714286,0.0,48.21820220424569,0.0,7.0,160.51,0.0,474.02,113.9,63.686666666666675,441.13280313302477,47.96833251020431,1.0,14.0,160.51,1708.5,955.3000000000001,-178.51,-474.02,753.1999999999999,11,0,2233.715,0
521,2024-01-22,MAT-0001,0.0,153.01,2680.7250000000004,2527.715,2024-01-22,0,0,0,0.0,76.50333333333333,0.0,69.28214079640823,0.0,3.0,153.01,0.0,229.51,0.0,83.78999999999999,0.0,55.79084691954407,0.0,7.0,160.51,0.0,586.53,113.9,72.18733333333333,441.13280313302477,51.85830233388267,1.0,14.0,160.51,1708.5,1082.81,-229.51,-586.53,625.69,12,0,2226.215,0
547,2024-01-23,MAT-0001,0.0,73.5,2527.715,2454.215,2024-01-23,1,0,0,0.0,81.50333333333333,0.0,67.85989267110091,0.0,3.0,153.01,0.0,244.51,0.0,71.36,0.0,44.37360889838313,0.0,7.0,153.01,0.0,499.52,113.9,67.684,441.13280313302477,48.25928878760766,1.0,14.0,160.51,1708.5,1015.26,-244.51,-499.52,693.24,13,0,2200.715,0
574,2024-01-24,MAT-0001,0.0,51.0,2454.215,2403.215,2024-01-24,2,0,0,0.0,92.50333333333333,0.0,53.59435635711408,0.0,3.0,153.01,0.0,277.51,0.0,71.36,0.0,44.37360889838313,0.0,7.0,153.01,0.0,499.52,113.9,65.984,441.13280313302477,48.37554677431859,1.0,14.0,160.51,1708.5,989.76,-277.51,-499.52,718.74,14,0,2124.215,0
611,2024-01-25,MAT-0001,0.0,76.5,2403.215,2326.715,2024-01-25,3,0,0,0.0,67.0,0.0,13.937359864766403,0.0,3.0,76.5,0.0,201.0,0.0,76.07428571428571,0.0,42.63951917221975,0.0,7.0,153.01,0.0,532.52,0.0,71.084,0.0,44.82446506732042,0.0,15.0,160.51,0.0,1066.26,-201.0,-532.52,-1066.26,15,0,2069.415,0
639,2024-01-26,MAT-0001,0.0,16.5,2326.715,2310.215,2024-01-26,4,0,0,0.0,48.0,0.0,30.11228984982712,0.0,3.0,76.5,0.0,144.0,0.0,63.85857142857143,0.0,46.08079875919811,0.0,7.0,153.01,0.0,447.01,0.0,70.384,0.0,45.63670308612826,0.0,15.0,160.51,0.0,1055.76,-144.0,-447.01,-1055.76,16,0,2043.905,0
661,2024-01-27,MAT-0001,0.0,28.5,2310.215,2281.715,2024-01-27,5,1,0,0.0,40.5,0.0,31.74901573277511,0.0,3.0,76.5,0.0,121.5,0.0,59.57285714285714,0.0,48.01663417132501,0.0,7.0,153.01,0.0,417.01,0.0,70.084,0.0,45.91395474145089,0.0,15.0,160.51,0.0,1051.26,-121.5,-417.01,-1051.26,17,0,2037.905,0
685,2024-01-29,MAT-0001,0.0,48.0,2281.715,2233.715,2024-01-29,0,0,0,0.0,31.0,0.0,15.898113095584689,0.0,3.0,48.0,0.0,93.0,0.0,63.85857142857143,0.0,44.927052143287945,0.0,7.0,153.01,0.0,447.01,0.0,69.884,0.0,46.00945660560291,0.0,15.0,160.51,0.0,1048.26,-93.0,-447.01,-1048.26,18,0,2022.905,0
738,2024-01-31,MAT-0001,0.0,7.5,2233.715,2226.215,2024-01-31,2,0,0,0.0,28.0,0.0,20.254629100529126,0.0,3.0,48.0,0.0,84.0,0.0,43.07142857142857,0.0,26.814841306368248,0.0,7.0,76.5,0.0,301.5,0.0,61.902,0.0,45.735025839846514,0.0,15.0,160.51,0.0,928.53,-84.0,-301.5,-928.53,19,0,1920.905,0
758,2024-02-01,MAT-0001,0.0,25.5,2226.215,2200.715,2024-02-01,3,0,1,0.0,27.0,0.0,20.291623887703057,0.0,3.0,48.0,0.0,81.0,0.0,36.214285714285715,0.0,23.69222295546424,0.0,7.0,76.5,0.0,253.5,0.0,60.902,0.0,46.3956249784703,0.0,15.0,160.51,0.0,913.53,-81.0,-253.5,-913.53,20,0,1895.405,0
835,2024-02-05,MAT-0001,0.0,76.5,2200.715,2124.215,2024-02-05,0,0,0,0.0,36.5,0.0,35.79106033634658,0.0,3.0,76.5,0.0,109.5,0.0,39.857142857142854,0.0,27.926561856821106,0.0,7.0,76.5,0.0,279.0,0.0,55.30133333333333,0.0,37.78396123577658,0.0,15.0,153.01,0.0,829.52,-109.5,-279.0,-829.52,21,0,1895.375,0
939,2024-02-20,MAT-0001,0.0,54.8,2124.215,2069.415,2024-02-20,1,0,0,0.0,52.26666666666667,0.0,25.594205073284357,0.0,3.0,76.5,0.0,156.8,0.0,36.75714285714286,0.0,24.127015089787946,0.0,7.0,76.5,0.0,257.3,0.0,55.55466666666667,0.0,37.76579648053943,0.0,15.0,153.01,0.0,833.32,-156.8,-257.3,-833.32,22,0,1844.345,0
977,2024-02-21,MAT-0001,0.0,25.51,2069.415,2043.905,2024-02-21,2,0,0,0.0,52.27,0.0,25.588976142081208,0.0,3.0,76.5,0.0,156.81,0.0,38.044285714285714,0.0,23.084000127897244,0.0,7.0,76.5,0.0,266.31,0.0,54.35533333333333,0.0,38.45532321811279,0.0,15.0,153.01,0.0,815.3299999999999,-156.81,-266.31,-815.3299999999999,23,0,1799.345,0
1002,2024-02-22,MAT-0001,0.0,6.0,2043.905,2037.905,2024-02-22,3,0,0,0.0,28.77,0.0,24.562790965197774,0.0,3.0,54.8,0.0,86.31,0.0,34.83,0.0,26.014892529728645,0.0,7.0,76.5,0.0,243.81,0.0,47.95466666666666,0.0,37.94367006623422,0.0,15.0,153.01,0.0,719.3199999999999,-86.31,-243.81,-719.3199999999999,24,0,1719.845,0
1039,2024-02-23,MAT-0001,0.0,15.0,2037.905,2022.905,2024-02-23,4,0,0,0.0,15.503333333333336,0.0,9.76473416603519,0.0,3.0,25.51,0.0,46.510000000000005,0.0,30.115714285714287,0.0,26.219764718714767,0.0,7.0,76.5,0.0,210.81,0.0,45.05466666666666,0.0,38.73422754889433,0.0,15.0,153.01,0.0,675.8199999999999,-46.510000000000005,-210.81,-675.8199999999999,25,0,1683.815,0
1064,2024-02-24,MAT-0001,0.0,102.0,2022.905,1920.905,2024-02-24,5,1,0,0.0,41.0,0.0,53.01886456724627,0.0,3.0,102.0,0.0,123.0,0.0,43.61571428571428,0.0,35.36709009665285,0.0,7.0,102.0,0.0,305.31,0.0,50.654666666666664,0.0,40.571965491081706,0.0,15.0,153.01,0.0,759.8199999999999,-123.0,-305.31,-759.8199999999999,26,0,1677.815,0
1099,2024-02-26,MAT-0001,0.0,25.5,1920.905,1895.405,2024-02-26,0,0,0,0.0,47.5,0.0,47.48947251760122,0.0,3.0,102.0,0.0,142.5,0.0,43.61571428571428,0.0,35.36709009665285,0.0,7.0,102.0,0.0,305.31,0.0,42.153999999999996,0.0,29.419872244065644,0.0,15.0,102.0,0.0,632.31,-142.5,-305.31,-632.31,27,0,1677.815,0
1131,2024-02-27,MAT-0001,0.0,0.03,1895.405,1895.375,2024-02-27,1,0,0,0.0,42.51,0.0,53.07047484242064,0.0,3.0,102.0,0.0,127.53,0.0,32.691428571428574,0.0,35.32691251183785,0.0,7.0,102.0,0.0,228.84,0.0,37.25599999999999,0.0,29.939710801160793,0.0,15.0,102.0,0.0,558.8399999999999,-127.53,-228.84,-558.8399999999999,28,0,1677.815,0
1181,2024-02-29,MAT-0001,0.0,51.03,1895.375,1844.345,2024-02-29,3,0,0,0.0,25.52,0.0,25.500005882352305,0.0,3.0,51.03,0.0,76.56,0.0,32.152857142857144,0.0,34.96052140833793,0.0,7.0,102.0,0.0,225.07000000000002,0.0,37.258,0.0,29.940695478132884,0.0,15.0,102.0,0.0,558.87,-76.56,-225.07000000000002,-558.87,29,0,1677.815,0
1213,2024-03-01,MAT-0001,0.0,45.0,1844.345,1799.345,2024-03-01,4,0,1,0.0,32.02,0.0,27.867728648025874,0.0,3.0,51.03,0.0,96.06,0.0,34.93714285714286,0.0,35.11904550443897,0.0,7.0,102.0,0.0,244.56,0.0,35.158,0.0,28.03580292615653,0.0,15.0,102.0,0.0,527.37,-96.06,-244.56,-527.37,30,0,1677.815,0
1242,2024-03-02,MAT-0001,0.0,79.5,1799.345,1719.845,2024-03-02,5,1,0,0.0,58.51,0.0,18.42621230747117,0.0,3.0,79.5,0.0,175.53,0.0,45.43714285714286,0.0,36.001907687549775,0.0,7.0,102.0,0.0,318.06,0.0,39.358,0.0,29.710002452276687,0.0,15.0,102.0,0.0,590.37,-175.53,-318.06,-590.37,31,0,1677.815,0
1302,2024-03-05,MAT-0001,0.0,36.03,1719.845,1683.815,2024-03-05,1,0,0,0.0,53.51,0.0,22.95049672665065,0.0,3.0,79.5,0.0,160.53,0.0,48.441428571428574,0.0,33.85192925500278,0.0,7.0,102.0,0.0,339.09000000000003,0.0,39.86,0.0,29.57675100480107,0.0,15.0,102.0,0.0,597.9,-160.53,-339.09000000000003,-597.9,32,0,1677.815,0
1341,2024-03-06,MAT-0001,0.0,6.0,1683.815,1677.815,2024-03-06,2,0,0,0.0,40.51,0.0,36.95423250454543,0.0,3.0,79.5,0.0,121.53,0.0,34.72714285714286,0.0,27.361473957790633,0.0,7.0,79.5,0.0,243.09,0.0,37.059999999999995,0.0,30.717164582688966,0.0,15.0,102.0,0.0,555.9,-121.53,-243.09,-555.9,33,0,1718.285,0
1373,2024-03-07,MAT-0001,229.5,19.5,1677.815,1887.815,2024-03-07,3,0,0,76.5,20.51,132.50188677901912,15.040455445231789,1.0,3.0,36.03,229.5,61.53,32.785714285714285,33.87,86.7428465556172,27.78933968269123,1.0,7.0,79.5,229.5,237.09,15.3,37.86,59.25664519697374,30.041137033836048,1.0,15.0,102.0,229.5,567.9,167.97,-7.590000000000003,-338.4,0,0,1713.785,0
1426,2024-03-08,MAT-0001,0.0,3.0,1887.815,1884.815,2024-03-08,4,0,0,76.5,9.5,132.50188677901912,8.789197915623626,1.0,3.0,19.5,229.5,28.5,32.785714285714285,34.294285714285714,86.7428465556172,27.20304998656265,1.0,7.0,79.5,229.5,240.06,15.3,36.36,59.25664519697374,31.24017422669546,1.0,15.0,102.0,229.5,545.4,201.0,-10.560000000000002,-315.9,1,0,1637.285,0
1466,2024-03-11,MAT-0001,0.0,42.0,1884.815,1842.815,2024-03-11,0,0,0,76.5,21.5,132.50188677901912,19.576771950451956,1.0,3.0,42.0,229.5,64.5,32.785714285714285,33.004285714285714,86.7428465556172,26.481694216409682,1.0,7.0,79.5,229.5,231.03,15.3,34.059999999999995,59.25664519697374,29.282514041171915,1.0,15.0,102.0,229.5,510.9,165.0,-1.5300000000000011,-281.4,2,0,1608.785,0
1493,2024-03-12,MAT-0001,0.0,55.5,1842.815,1787.315,2024-03-12,1,0,0,0.0,33.5,0.0,27.262611760431213,0.0,3.0,55.5,0.0,100.5,32.785714285714285,34.504285714285714,86.7428465556172,27.55022919272045,1.0,7.0,79.5,229.5,241.53,15.3,34.10666666666667,59.25664519697374,29.31846338466764,1.0,15.0,102.0,229.5,511.6,-100.5,-12.030000000000001,-282.1,3,0,1557.585,0
1533,2024-03-13,MAT-0001,0.0,18.0,1787.315,1769.315,2024-03-13,2,0,0,0.0,38.5,0.0,18.993419913222635,0.0,3.0,55.5,0.0,115.5,32.785714285714285,25.71857142857143,86.7428465556172,19.41454131020641,1.0,7.0,55.5,229.5,180.03,15.3,33.606,59.25664519697374,29.539046991107533,1.0,15.0,102.0,229.5,504.09000000000003,-115.5,49.47,-274.59000000000003,4,0,1553.085,0
1561,2024-03-14,MAT-0001,0.0,51.0,1769.315,1718.315,2024-03-14,3,0,0,0.0,41.5,0.0,20.47559522944332,0.0,3.0,55.5,0.0,124.5,32.785714285714285,27.857142857142858,86.7428465556172,21.456767164297005,1.0,7.0,55.5,229.5,195.0,15.3,36.606,59.25664519697374,28.81125048111789,1.0,15.0,102.0,229.5,549.09,-124.5,34.5,-319.59000000000003,5,0,1553.055,0
1604,2024-03-15,MAT-0001,0.0,0.03,1718.315,1718.285,2024-03-15,4,0,0,0.0,23.01,0.0,25.85169820340634,0.0,3.0,51.0,0.0,69.03,32.785714285714285,27.004285714285714,86.7428465556172,22.560587948265567,1.0,7.0,55.5,229.5,189.03,15.3,35.608,59.25664519697374,29.85354566163675,1.0,15.0,102.0,229.5,534.12,-69.03,40.47,-304.62,6,0,1553.055,0
1637,2024-03-16,MAT-0001,0.0,4.5,1718.285,1713.785,2024-03-16,5,1,0,0.0,18.51,0.0,28.22579139723106,0.0,3.0,51.0,0.0,55.53,0.0,24.861428571428572,0.0,24.055028877257893,0.0,7.0,55.5,0.0,174.03,15.3,29.108,59.25664519697374,24.499764780212004,1.0,15.0,79.5,229.5,436.62,-55.53,-174.03,-207.12,7,0,1553.055,0
1661,2024-03-18,MAT-0001,0.0,76.5,1713.785,1637.285,2024-03-18,0,0,0,0.0,27.01,0.0,42.91783195828982,0.0,3.0,76.5,0.0,81.03,0.0,35.36142857142857,0.0,28.544516361040554,0.0,7.0,76.5,0.0,247.53,15.3,32.508,59.25664519697374,27.337732479905117,1.0,15.0,79.5,229.5,487.62,-81.03,-247.53,-258.12,8,0,1553.055,0
1680,2024-03-19,MAT-0001,0.0,28.5,1637.285,1608.785,2024-03-19,1,0,0,0.0,36.5,0.0,36.66060555964675,0.0,3.0,76.5,0.0,109.5,0.0,33.432857142857145,0.0,28.4772111897014,0.0,7.0,76.5,0.0,234.03,15.3,34.406,59.25664519697374,25.87073658457705,1.0,15.0,79.5,229.5,516.09,-109.5,-234.03,-286.59000000000003,9,0,1553.055,0
1724,2024-03-21,MAT-0001,0.0,51.2,1608.785,1557.585,2024-03-21,3,0,0,0.0,52.06666666666666,0.0,24.011733243007157,0.0,3.0,76.5,0.0,156.2,0.0,32.81857142857143,0.0,27.963608749331904,0.0,7.0,76.5,0.0,229.73000000000002,15.3,34.41733333333333,59.25664519697374,25.878575382148178,1.0,15.0,79.5,229.5,516.26,-156.2,-229.73000000000002,-286.76,10,0,1553.055,0
1760,2024-03-22,MAT-0001,0.0,4.5,1557.585,1553.085,2024-03-22,4,0,0,0.0,28.066666666666666,0.0,23.353015508352144,0.0,3.0,51.2,0.0,84.2,0.0,30.890000000000004,0.0,29.575035080283463,0.0,7.0,76.5,0.0,216.23000000000002,15.3,31.717333333333332,59.25664519697374,26.792207413635037,1.0,15.0,79.5,229.5,475.76,-84.2,-216.23000000000002,-246.26,11,0,1553.055,0
1779,2024-03-23,MAT-0001,0.0,0.03,1553.085,1553.055,2024-03-23,5,1,0,0.0,18.576666666666668,0.0,28.340900362079818,0.0,3.0,51.2,0.0,55.730000000000004,0.0,23.608571428571427,0.0,30.069057422634838,0.0,7.0,76.5,0.0,165.26,15.3,26.419333333333334,59.25664519697374,24.420987890005847,1.0,15.0,76.5,229.5,396.29,-55.730000000000004,-165.26,-166.79000000000002,12,0,1857.5550000000003,0
1831,2024-03-26,MAT-0001,510.0,28.5,1553.055,2034.5550000000003,2024-03-26,1,0,0,170.0,11.01,294.44863728670913,15.310790312717458,1.0,3.0,28.5,510.0,33.03,72.85714285714286,27.67571428571429,192.7618812347057,28.21664630269561,1.0,7.0,76.5,510.0,193.73000000000002,49.3,25.917333333333332,140.48713718446163,24.286341389662645,2.0,15.0,76.5,739.5,388.76,476.97,316.27,350.74,0,0,1857.5550000000003,0
1890,2024-03-28,MAT-0001,0.0,79.5,2034.5550000000003,1955.0550000000003,2024-03-28,3,0,0,170.0,36.01,294.44863728670913,40.26375913895773,1.0,3.0,79.5,510.0,108.03,72.85714285714286,38.39,192.7618812347057,31.943038365189963,1.0,7.0,79.5,510.0,268.73,49.3,30.817333333333334,140.48713718446163,27.21845657077639,2.0,15.0,79.5,739.5,462.26,401.97,241.26999999999998,277.24,1,0,1857.5550000000003,0
1913,2024-03-29,MAT-0001,0.0,33.0,1955.0550000000003,1922.0550000000003,2024-03-29,4,0,0,170.0,47.0,294.44863728670913,28.23561580699104,1.0,3.0,79.5,510.0,141.0,72.85714285714286,32.175714285714285,192.7618812347057,27.167703778041794,1.0,7.0,79.5,510.0,225.23000000000002,34.0,31.717333333333332,131.68143377105227,27.040120051156478,1.0,15.0,79.5,510.0,475.76,369.0,284.77,34.24000000000001,2,0,1857.5550000000003,0
1939,2024-03-30,MAT-0001,0.0,18.0,1922.0550000000003,1904.0550000000003,2024-03-30,5,1,0,0.0,43.5,0.0,32.066337489647964,0.0,3.0,79.5,0.0,130.5,72.85714285714286,30.67571428571429,192.7618812347057,27.689332396636544,1.0,7.0,79.5,510.0,214.73000000000002,34.0,32.717333333333336,131.68143377105227,26.165453359798907,1.0,15.0,79.5,510.0,490.76,-130.5,295.27,19.24000000000001,3,0,1857.5550000000003,0
1967,2024-04-01,MAT-0001,0.0,28.5,1904.0550000000003,1875.5550000000003,2024-04-01,0,0,1,0.0,26.5,0.0,7.697402159170502,0.0,3.0,33.0,0.0,79.5,72.85714285714286,27.43285714285715,192.7618812347057,26.172725443538635,1.0,7.0,79.5,510.0,192.03000000000003,34.0,31.817333333333334,131.68143377105227,26.055300109757443,1.0,15.0,79.5,510.0,477.26,-79.5,317.96999999999997,32.74000000000001,4,0,1857.5550000000003,0
1991,2024-04-02,MAT-0001,0.0,18.0,1875.5550000000003,1857.5550000000003,2024-04-02,1,0,0,0.0,21.5,0.0,6.062177826491302,0.0,3.0,28.5,0.0,64.5,72.85714285714286,29.361428571428576,192.7618812347057,24.65460229421095,1.0,7.0,79.5,510.0,205.53000000000003,34.0,29.317333333333334,131.68143377105227,25.41175387961441,1.0,15.0,79.5,510.0,439.76,-64.5,304.46999999999997,70.24000000000001,5,0,1857.5150000000003,0
2039,2024-04-03,MAT-0001,255.0,25.5,1857.5550000000003,2087.0550000000003,2024-04-03,2,0,0,85.0,24.0,147.22431864335456,5.408326913196239,1.0,3.0,28.5,255.0,72.0,109.28571428571429,33.0,200.63292707970783,21.24852936087572,2.0,7.0,79.5,765.0,231.0,51.0,29.817333333333334,142.95603719825405,25.2464160021256,2.0,15.0,79.5,765.0,447.26,183.0,534.0,317.74,0,0,1799.0150000000003,0
2080,2024-04-06,MAT-0001,0.0,37.5,2087.0550000000003,2049.5550000000003,2024-04-06,5,1,0,85.0,27.0,147.22431864335456,9.836157786453139,1.0,3.0,37.5,255.0,81.0,36.42857142857143,34.285714285714285,96.38094061735256,21.203099503879766,1.0,7.0,79.5,255.0,240.0,51.0,28.917333333333332,142.95603719825405,24.671425480464194,2.0,15.0,79.5,765.0,433.76,174.0,15.0,331.24,1,0,1743.5150000000003,0
2108,2024-04-07,MAT-0001,0.0,18.0,2049.5550000000003,2031.5550000000003,2024-04-07,6,1,0,85.0,27.0,147.22431864335456,9.836157786453139,1.0,3.0,37.5,255.0,81.0,36.42857142857143,25.5,96.38094061735256,7.937253933193602,1.0,7.0,37.5,255.0,178.5,51.0,30.115333333333336,142.95603719825405,23.580699391865508,2.0,15.0,79.5,765.0,451.73,174.0,76.5,313.27,2,0,1692.5150000000003,0
2156,2024-04-09,MAT-0001,0.0,51.0,2031.5550000000003,1980.5550000000003,2024-04-09,1,0,0,0.0,35.5,0.0,16.590660023037135,0.0,3.0,51.0,0.0,106.5,36.42857142857143,28.071428571428573,96.38094061735256,12.421180068162272,1.0,7.0,51.0,255.0,196.5,51.0,33.215333333333334,142.95603719825405,23.022605930031595,2.0,15.0,79.5,765.0,498.23,-106.5,58.5,266.77,3,0,1677.5150000000003,0
2189,2024-04-10,MAT-0001,0.0,51.0,1980.5550000000003,1929.5550000000003,2024-04-10,2,0,0,0.0,40.0,0.0,19.052558883257714,0.0,3.0,51.0,0.0,120.0,36.42857142857143,32.785714285714285,96.38094061735256,14.109267471113665,1.0,7.0,51.0,255.0,229.5,51.0,31.515333333333334,142.95603719825405,20.388980520532876,2.0,15.0,79.5,765.0,472.73,-120.0,25.5,292.27,4,0,1626.5150000000003,0
